# Export File Created with QBlade CE v2.0.8.6_beta windows on 13.06.2025 at 11:23:07
Matlab +7deg +1cm all,+2sg43 Simulation 10.00
Radius [m];Angle of Attack [deg]
2.5213376e-02;3.7672699e+01
2.5852693e-02;4.1651596e+01
2.6915526e-02;3.5489243e+01
2.8397845e-02;2.3538696e+01
3.0294025e-02;1.4193405e+01
3.2596875e-02;9.3419952e+00
3.5297658e-02;7.8497009e+00
3.8386129e-02;1.0065292e+01
4.1850571e-02;9.7882690e+00
4.5677848e-02;9.9099884e+00
4.9853437e-02;1.0107758e+01
5.4361496e-02;1.0315033e+01
5.9184931e-02;9.3524628e+00
6.4305440e-02;8.1620331e+00
6.9703601e-02;8.1017456e+00
7.5358942e-02;8.1503448e+00
8.1249997e-02;8.1649780e+00
8.7354437e-02;8.1113739e+00
9.3649089e-02;8.0169983e+00
1.0011008e-01;7.9279480e+00
1.0671292e-01;7.7878113e+00
1.1343253e-01;7.5883636e+00
1.2024344e-01;7.4021454e+00
1.2711981e-01;7.2055206e+00
1.3403556e-01;6.9870300e+00
1.4096445e-01;6.7821503e+00
1.4788020e-01;6.5630493e+00
1.5475656e-01;6.3329620e+00
1.6156746e-01;6.1218109e+00
1.6828708e-01;5.9006805e+00
1.7488992e-01;5.6686859e+00
1.8135092e-01;5.4465790e+00
1.8764557e-01;5.2072144e+00
1.9374999e-01;4.9635925e+00
1.9964106e-01;4.7526245e+00
2.0529640e-01;4.5442657e+00
2.1069455e-01;4.3041534e+00
2.1581507e-01;4.0521088e+00
2.2063850e-01;3.7511444e+00
2.2514656e-01;3.4415741e+00
2.2932215e-01;3.1787415e+00
2.3314942e-01;2.8672791e+00
2.3661387e-01;2.4794312e+00
2.3970234e-01;2.1209564e+00
2.4240312e-01;1.6878815e+00
2.4470598e-01;1.2029877e+00
2.4660216e-01;6.4445496e-01
2.4808447e-01;-3.0654907e-02
2.4914731e-01;-8.3052063e-01
2.4978663e-01;-2.0675659e+00
