# Export File Created with QBlade CE v2.0.8.6_beta windows on 13.06.2025 at 11:23:55
Matlab +7deg +1cm all,+2sg43 Simulation;[TSR_0.000]
Tip Speed Ratio [-];Power Coefficient Cp [-];Tip Speed Ratio [-];Power Coefficient Cp [-]
1.0000000e-10;3.1245863e-12;1.0000000e-10;3.1245863e-12
2.0000000e-01;7.6266406e-03;END;END
4.0000001e-01;1.7229076e-02;END;END
6.0000002e-01;2.7890503e-02;END;END
8.0000001e-01;3.9413780e-02;END;END
1.0000000e+00;5.3270087e-02;END;END
1.2000000e+00;7.2108276e-02;END;END
1.4000000e+00;9.9342182e-02;END;END
1.6000000e+00;1.3779621e-01;END;END
1.8000000e+00;1.7780453e-01;END;END
2.0000000e+00;2.1138278e-01;END;END
2.2000000e+00;2.3608367e-01;END;END
2.4000001e+00;2.5870043e-01;END;END
2.5999999e+00;2.8561756e-01;END;END
2.8000000e+00;3.0657527e-01;END;END
3.0000000e+00;3.3652124e-01;END;END
3.2000000e+00;3.6872816e-01;END;END
3.4000001e+00;3.8528991e-01;END;END
3.5999999e+00;3.9432126e-01;END;END
3.8000000e+00;3.9958492e-01;END;END
4.0000000e+00;4.0133163e-01;END;END
4.1999998e+00;3.9948723e-01;END;END
4.4000001e+00;3.9530584e-01;END;END
4.5999999e+00;3.8874042e-01;END;END
4.8000002e+00;3.8035718e-01;END;END
5.0000000e+00;3.7014741e-01;END;END
5.1999998e+00;3.5929313e-01;END;END
5.4000001e+00;3.4702033e-01;END;END
5.5999999e+00;3.3344772e-01;END;END
5.8000002e+00;3.1820384e-01;END;END
6.0000000e+00;3.0365986e-01;END;END
6.1999998e+00;2.8454116e-01;END;END
6.4000001e+00;2.6578218e-01;END;END
6.5999999e+00;2.4691807e-01;END;END
6.8000002e+00;2.2530305e-01;END;END
7.0000000e+00;2.0154668e-01;END;END
7.1999998e+00;1.7452835e-01;END;END
7.4000001e+00;1.4928477e-01;END;END
7.5999999e+00;1.1814055e-01;END;END
7.8000002e+00;8.5250102e-02;END;END
