  
       XFOIL         Version 6.99
  
 Calculated polar for: AutoFoil                                        
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.087     Re =     0.112 e 6     Ncrit =   5.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.2864   0.13097   0.12603  -0.0378   0.9960   0.0296
  -9.750  -0.2765   0.12864   0.12371  -0.0432   0.9929   0.0327
  -9.500  -0.2669   0.12570   0.12078  -0.0471   0.9892   0.0331
  -9.250  -0.2544   0.12237   0.11744  -0.0509   0.9859   0.0332
  -9.000  -0.2448   0.11914   0.11423  -0.0555   0.9813   0.0337
  -8.750  -0.2330   0.11576   0.11086  -0.0583   0.9774   0.0337
  -8.500  -0.2200   0.11206   0.10716  -0.0619   0.9742   0.0338
  -8.250  -0.2125   0.10876   0.10388  -0.0639   0.9686   0.0338
  -8.000  -0.2022   0.10514   0.10028  -0.0666   0.9640   0.0339
  -7.750  -0.1894   0.10108   0.09622  -0.0709   0.9602   0.0340
  -7.500  -0.1860   0.09807   0.09324  -0.0711   0.9519   0.0339
  -7.250  -0.1701   0.09217   0.08733  -0.0685   0.9513   0.0276
  -7.000  -0.1595   0.08858   0.08376  -0.0719   0.9464   0.0284
  -6.750  -0.1579   0.08591   0.08111  -0.0726   0.9387   0.0272
  -6.500  -0.1513   0.08288   0.07811  -0.0749   0.9317   0.0279
  -5.750  -0.1115   0.07421   0.06956  -0.0877   0.9114   0.0548
  -5.500  -0.0883   0.07021   0.06548  -0.0931   0.9078   0.0556
  -5.250  -0.0601   0.06584   0.06105  -0.1001   0.9053   0.0563
  -5.000  -0.0598   0.06346   0.05867  -0.1001   0.8937   0.0563
  -4.750  -0.0286   0.05662   0.05165  -0.1089   0.8887   0.0407
  -4.500   0.0210   0.04795   0.04254  -0.1219   0.8856   0.0322
  -4.250   0.0604   0.04265   0.03696  -0.1290   0.8836   0.0309
  -4.000   0.1029   0.03801   0.03196  -0.1356   0.8822   0.0296
  -3.750   0.1144   0.03555   0.02924  -0.1347   0.8721   0.0289
  -3.500   0.1534   0.03180   0.02497  -0.1388   0.8688   0.0279
  -3.250   0.1952   0.02848   0.02107  -0.1427   0.8664   0.0274
  -3.000   0.2360   0.02603   0.01808  -0.1456   0.8642   0.0269
  -2.750   0.2761   0.02413   0.01578  -0.1479   0.8623   0.0267
  -2.500   0.3156   0.02255   0.01391  -0.1501   0.8606   0.0274
  -2.250   0.3538   0.02144   0.01261  -0.1520   0.8590   0.0277
  -2.000   0.3938   0.02041   0.01143  -0.1542   0.8576   0.0299
  -1.750   0.4070   0.02029   0.01118  -0.1514   0.8477   0.0317
  -1.500   0.4388   0.01973   0.01052  -0.1521   0.8428   0.0360
  -1.250   0.4748   0.01908   0.00996  -0.1536   0.8393   0.0709
  -1.000   0.5112   0.01850   0.00976  -0.1555   0.8363   0.1506
  -0.750   0.5511   0.01770   0.00947  -0.1582   0.8338   0.2984
  -0.500   0.5886   0.01685   0.00938  -0.1600   0.8314   0.5702
  -0.250   0.6064   0.01681   0.00964  -0.1576   0.8246   0.6881
   0.000   0.6194   0.01676   0.00981  -0.1541   0.8164   0.7892
   0.250   0.6412   0.01632   0.00947  -0.1520   0.8104   1.0000
   0.500   0.6783   0.01620   0.00916  -0.1535   0.8065   1.0000
   0.750   0.7173   0.01603   0.00883  -0.1554   0.8031   1.0000
   1.000   0.7404   0.01628   0.00899  -0.1545   0.7953   1.0000
   1.250   0.7634   0.01648   0.00912  -0.1536   0.7862   1.0000
   1.500   0.7965   0.01641   0.00896  -0.1543   0.7800   1.0000
   1.750   0.8335   0.01624   0.00870  -0.1557   0.7749   1.0000
   2.000   0.8706   0.01612   0.00849  -0.1572   0.7700   1.0000
   2.250   0.8838   0.01654   0.00892  -0.1545   0.7573   1.0000
   2.500   0.9144   0.01649   0.00884  -0.1547   0.7487   1.0000
   2.750   0.9516   0.01629   0.00858  -0.1561   0.7420   1.0000
